char1,file1,char2,file2,score
"""",wingding.ttf_22.png,a,wingding.ttf_61.png,1.0000001192092896
"""",wingding.ttf_22.png,F,wingding.ttf_46.png,1.0000001192092896
"""",wingding.ttf_22.png,t,wingding.ttf_74.png,1.0000001192092896
"""",wingding.ttf_22.png,k,wingding.ttf_6b.png,1.0000001192092896
"""",wingding.ttf_22.png,=,wingding.ttf_3d.png,1.0000001192092896
"""",wingding.ttf_22.png,i,wingding.ttf_69.png,1.0000001192092896
"""",wingding.ttf_22.png,x,wingding.ttf_78.png,1.0000001192092896
"""",wingding.ttf_22.png,>,wingding.ttf_3e.png,1.0000001192092896
"""",wingding.ttf_22.png,q,wingding.ttf_71.png,1.0000001192092896
"""",wingding.ttf_22.png,h,wingding.ttf_68.png,1.0000001192092896
"""",wingding.ttf_22.png,d,wingding.ttf_64.png,1.0000001192092896
"""",wingding.ttf_22.png,y,wingding.ttf_79.png,1.0000001192092896
"""",wingding.ttf_22.png,(,wingding.ttf_28.png,1.0000001192092896
"""",wingding.ttf_22.png,9,wingding.ttf_39.png,1.0000001192092896
"""",wingding.ttf_22.png,C,wingding.ttf_43.png,1.0000001192092896
"""",wingding.ttf_22.png,J,wingding.ttf_4a.png,1.0000001192092896
"""",wingding.ttf_22.png,f,wingding.ttf_66.png,1.0000001192092896
"""",wingding.ttf_22.png,#,wingding.ttf_23.png,1.0000001192092896
"""",wingding.ttf_22.png,D,wingding.ttf_44.png,1.0000001192092896
"""",wingding.ttf_22.png, ,wingding.ttf_20.png,1.0000001192092896
"""",wingding.ttf_22.png,1,wingding.ttf_31.png,1.0000001192092896
"""",wingding.ttf_22.png,_,wingding.ttf_5f.png,1.0000001192092896
"""",wingding.ttf_22.png,},wingding.ttf_7d.png,1.0000001192092896
"""",wingding.ttf_22.png,l,wingding.ttf_6c.png,1.0000001192092896
"""",wingding.ttf_22.png,S,wingding.ttf_53.png,1.0000001192092896
"""",wingding.ttf_22.png,<,wingding.ttf_3c.png,1.0000001192092896
"""",wingding.ttf_22.png,),wingding.ttf_29.png,1.0000001192092896
"""",wingding.ttf_22.png,-,wingding.ttf_2d.png,1.0000001192092896
